Time,Operator,Production Order,Material #,Quantity,Serial #,Leak Rate
2021-06-30 14:44:14.069416,Colin Moore,6030159,5198832,20,,2.6419764586054746e-08
2021-06-30 14:44:14.160653,Colin Moore,6030159,5198832,20,,2.634118448821634e-08
2021-06-30 14:44:14.250283,Colin Moore,6030159,5198832,20,,2.642459514046317e-08
2021-06-30 14:44:14.339728,Colin Moore,6030159,5198832,20,,2.6389759162764256e-08
2021-06-30 14:44:14.429185,Colin Moore,6030159,5198832,20,,2.6386585982970353e-08
2021-06-30 14:44:14.518607,Colin Moore,6030159,5198832,20,,2.6302237744927697e-08
2021-06-30 14:44:14.607949,Colin Moore,6030159,5198832,20,,2.6230130155323614e-08
2021-06-30 14:44:14.698318,Colin Moore,6030159,5198832,20,,2.618477251068648e-08
2021-06-30 14:44:14.788008,Colin Moore,6030159,5198832,20,,2.6283563505595176e-08
2021-06-30 14:44:14.877589,Colin Moore,6030159,5198832,20,,2.6536637585105632e-08
2021-06-30 14:44:14.967095,Colin Moore,6030159,5198832,20,,2.687781691564582e-08
2021-06-30 14:44:15.056622,Colin Moore,6030159,5198832,20,,2.72421785461504e-08
2021-06-30 14:44:15.146206,Colin Moore,6030159,5198832,20,,2.743687777013709e-08
2021-06-30 14:44:15.235646,Colin Moore,6030159,5198832,20,,2.775066556349781e-08
2021-06-30 14:44:15.325059,Colin Moore,6030159,5198832,20,,2.81212391594875e-08
2021-06-30 14:44:15.415330,Colin Moore,6030159,5198832,20,,2.837261307471168e-08
2021-06-30 14:44:15.504981,Colin Moore,6030159,5198832,20,,2.847430117434679e-08
2021-06-30 14:44:15.594428,Colin Moore,6030159,5198832,20,,2.8532564954619914e-08
2021-06-30 14:44:15.684116,Colin Moore,6030159,5198832,20,,2.864126654093795e-08
2021-06-30 14:44:15.773535,Colin Moore,6030159,5198832,20,,2.8675432608572932e-08
2021-06-30 14:44:15.862990,Colin Moore,6030159,5198832,20,,2.8749366650827647e-08
2021-06-30 14:44:15.952472,Colin Moore,6030159,5198832,20,,2.8648594581627697e-08
2021-06-30 14:44:16.041992,Colin Moore,6030159,5198832,20,,2.8424718525639028e-08
2021-06-30 14:44:16.131401,Colin Moore,6030159,5198832,20,,2.8457505169480252e-08
2021-06-30 14:44:16.220822,Colin Moore,6030159,5198832,20,,2.843174152676913e-08
2021-06-30 14:44:16.311089,Colin Moore,6030159,5198832,20,,2.8440977726583733e-08
2021-06-30 14:44:16.402556,Colin Moore,6030159,5198832,20,,2.8489541927075676e-08
2021-06-30 14:44:16.492011,Colin Moore,6030159,5198832,20,,2.8354830608705375e-08
2021-06-30 14:44:16.581545,Colin Moore,6030159,5198832,20,,2.834380265492433e-08
2021-06-30 14:44:16.671003,Colin Moore,6030159,5198832,20,,2.8301801919901577e-08
2021-06-30 14:44:16.760412,Colin Moore,6030159,5198832,20,,2.8384430208955116e-08
2021-06-30 14:44:16.849740,Colin Moore,6030159,5198832,20,,2.8451257621806698e-08
2021-06-30 14:44:16.940325,Colin Moore,6030159,5198832,20,,2.8254295456766174e-08
2021-06-30 14:44:17.027419,Colin Moore,6030159,5198832,20,,2.8196017338714895e-08
2021-06-30 14:44:17.113740,Colin Moore,6030159,5198832,20,,2.816866226935648e-08
2021-06-30 14:44:17.200389,Colin Moore,6030159,5198832,20,,2.8351586697101685e-08
2021-06-30 14:44:17.286864,Colin Moore,6030159,5198832,20,,2.8280304892678987e-08
2021-06-30 14:44:17.373188,Colin Moore,6030159,5198832,20,,2.8175756648018125e-08
2021-06-30 14:44:17.459505,Colin Moore,6030159,5198832,20,,2.818827274927428e-08
2021-06-30 14:44:17.545893,Colin Moore,6030159,5198832,20,,2.8153060728724074e-08
2021-06-30 14:44:17.632220,Colin Moore,6030159,5198832,20,,2.8079808646683965e-08
2021-06-30 14:44:17.722916,Colin Moore,6030159,5198832,20,,2.793260748519386e-08
2021-06-30 14:44:17.813924,Colin Moore,6030159,5198832,20,,2.79364438652879e-08
2021-06-30 14:44:17.903410,Colin Moore,6030159,5198832,20,,2.7987521131547315e-08
2021-06-30 14:44:17.992838,Colin Moore,6030159,5198832,20,,2.8166598774479292e-08
